ESTIMATE of time to complete assignment: 80 hours

	
		Start	Time
Date	Time	Spent	Work completed
----	----	-----	--------------
10/24	20:00	2:00	Read spec, start thinking of encode
10/25	10:00	2:30	Implemented hash table
10/25	18:00	2:30	Added stage 1 version of encode, hybrid array ds for decode
10/25	20:30	1:30	Refined stage 1 for encode, printing strings.
10/26	10:30	1:30	Implementing the stack. 
10/26	14:30	2:00	Implementing, debugging decode for stage 1.
10/26	20:00	2:00	Implementing stage 2.
10/27	18:00	2:00	Debugging valgrind errors w/ hash table growth.
10/27	20:00	1:00	Basic arg-parsing, implemented max-bits. 
10/28	8:00	2:00	Solved bit-overflow nightmare.
11/03	20:00	2:00	String table IO
11/04	19:00	1:30	Compressed table IO.
11/05	10:00	1:45	Pruning.
11/05	19:00	2:00	A better pruning algorithim.
11/07	10:00	2:00	Many prune bugs fixed; use counts fixed; my tears wept.


		TOTAL:	

I write this in recovery from the trauma of debugging LZW. It was incredibly frusturating to prod at my code and guess at what caused a few byte errors in Gutenberg Etexts. Particularly hellish was getting overflow, and wondering why the heck I was receiving a '0' code in the middle of my decompression. The worst was debugging the pruning algorithim-- and syncing encode and decode for this. In particular, my tables weren't synced-- and even after that, they became out of sync.s
